time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/25/17:14:31.482229,221432.796875,42.3365745544,N,-71.0877075195,W,10.1619997025,328011.566557,4689257.64136,19,T,5.0
2020/02/25/17:14:32.082136,221433.40625,42.3365745544,N,-71.0877075195,W,10.1739997864,328011.572193,4689257.6303,19,T,5.0
2020/02/25/17:14:32.688694,221434.0,42.3365745544,N,-71.0877075195,W,10.2159996033,328011.570357,4689257.6059,19,T,5.0
2020/02/25/17:14:33.286754,221434.59375,42.3365745544,N,-71.0877075195,W,10.2089996338,328011.571914,4689257.60216,19,T,5.0
2020/02/25/17:14:33.881931,221435.203125,42.3365745544,N,-71.0877075195,W,10.2650003433,328011.560557,4689257.58725,19,T,5.0
2020/02/25/17:14:34.484155,221435.796875,42.3365745544,N,-71.0877075195,W,9.73499965668,328011.593094,4689257.63664,19,T,5.0
2020/02/25/17:14:35.091702,221436.40625,42.3365745544,N,-71.0877075195,W,9.80500030518,328011.576291,4689257.61816,19,T,5.0
2020/02/25/17:14:35.676928,221437.0,42.3365745544,N,-71.0877075195,W,9.69900035858,328011.562889,4689257.62627,19,T,5.0
2020/02/25/17:14:36.279874,221437.59375,42.3365745544,N,-71.0877075195,W,9.75500011444,328011.558015,4689257.62361,19,T,5.0
2020/02/25/17:14:36.882305,221438.203125,42.3365745544,N,-71.0877075195,W,9.5640001297,328011.549469,4689257.60012,19,T,5.0
2020/02/25/17:14:37.484495,221438.796875,42.3365745544,N,-71.0877075195,W,9.73499965668,328011.550254,4689257.58732,19,T,5.0
2020/02/25/17:14:37.681095,221439.0,42.3365745544,N,-71.0877075195,W,9.77299976349,328011.548678,4689257.57347,19,T,5.0
2020/02/25/17:14:37.880588,221439.203125,42.3365745544,N,-71.0877075195,W,9.72399997711,328011.528216,4689257.59064,19,T,5.0
2020/02/25/17:14:38.089074,221439.40625,42.3365745544,N,-71.0877075195,W,9.79300022125,328011.519611,4689257.5927,19,T,5.0
2020/02/25/17:14:38.281979,221439.59375,42.3365745544,N,-71.0877075195,W,9.83300018311,328011.515333,4689257.58077,19,T,5.0
2020/02/25/17:14:38.478890,221439.796875,42.3365745544,N,-71.0877075195,W,9.83399963379,328011.520061,4689257.58306,19,T,5.0
2020/02/25/17:14:38.686662,221440.0,42.3365745544,N,-71.0877075195,W,9.8360004425,328011.52056,4689257.58101,19,T,5.0
2020/02/25/17:14:38.877547,221440.203125,42.3365745544,N,-71.0877075195,W,9.90699958801,328011.514028,4689257.56117,19,T,5.0
2020/02/25/17:14:39.081784,221440.40625,42.3365745544,N,-71.0877075195,W,9.98400020599,328011.501898,4689257.54277,19,T,5.0
2020/02/25/17:14:39.285479,221440.59375,42.3365745544,N,-71.0877075195,W,10.0279998779,328011.490011,4689257.54546,19,T,5.0
2020/02/25/17:14:39.479087,221440.796875,42.3365745544,N,-71.0877075195,W,9.97299957275,328011.504651,4689257.55418,19,T,5.0
2020/02/25/17:14:39.691856,221441.0,42.3365745544,N,-71.0877075195,W,9.98799991608,328011.507782,4689257.55299,19,T,5.0
2020/02/25/17:14:39.880749,221441.203125,42.3365745544,N,-71.0877075195,W,10.0550003052,328011.510918,4689257.54643,19,T,5.0
2020/02/25/17:14:40.090125,221441.40625,42.3365745544,N,-71.0877075195,W,9.99199962616,328011.514298,4689257.56098,19,T,5.0
2020/02/25/17:14:40.695114,221442.0,42.3365745544,N,-71.0877075195,W,9.97999954224,328011.499231,4689257.58524,19,T,5.0
2020/02/25/17:14:41.286753,221442.59375,42.3365745544,N,-71.0877075195,W,9.92099952698,328011.491456,4689257.60432,19,T,5.0
2020/02/25/17:14:41.881060,221443.203125,42.3365745544,N,-71.0877075195,W,9.9359998703,328011.497076,4689257.60936,19,T,5.0
