time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:38:01.692702,183801.59375,42.3390007019,N,-71.0845489502,W,-0.880999982357,328278.576462,4689520.62657,19,T,5.0
2020/02/26/13:38:02.294500,183802.203125,42.3390083313,N,-71.0845565796,W,-0.893000006676,328277.86493,4689521.30975,19,T,5.0
2020/02/26/13:38:03.093077,183803.0,42.3390159607,N,-71.084564209,W,-0.913999974728,328276.940682,4689522.23776,19,T,5.0
2020/02/26/13:38:03.496860,183803.40625,42.3390197754,N,-71.0845718384,W,-0.90499997139,328276.490929,4689522.67118,19,T,5.0
2020/02/26/13:38:03.898616,183803.796875,42.3390235901,N,-71.0845794678,W,-0.92199999094,328276.026634,4689523.15589,19,T,5.0
2020/02/26/13:38:04.490848,183804.40625,42.3390274048,N,-71.0845870972,W,-0.952000021935,328275.25393,4689523.81519,19,T,5.0
2020/02/26/13:38:05.097299,183805.0,42.3390350342,N,-71.0845947266,W,-1.02799999714,328274.471012,4689524.49493,19,T,5.0
2020/02/26/13:38:06.103714,183806.0,42.3390426636,N,-71.0846099854,W,-1.09599995613,328273.190558,4689525.59241,19,T,5.0
2020/02/26/13:38:06.493025,183806.40625,42.3390464783,N,-71.0846176147,W,-1.04100000858,328272.719225,4689526.031,19,T,5.0
2020/02/26/13:38:06.898084,183806.796875,42.339050293,N,-71.0846252441,W,-1.10099995136,328272.25246,4689526.47095,19,T,5.0
2020/02/26/13:38:07.501775,183807.40625,42.3390579224,N,-71.0846328735,W,-1.10599994659,328271.58006,4689527.08594,19,T,5.0
2020/02/26/13:38:08.099456,183808.0,42.3390617371,N,-71.0846405029,W,-1.13699996471,328270.870169,4689527.76315,19,T,5.0
2020/02/26/13:38:08.697380,183808.59375,42.3390693665,N,-71.0846481323,W,-1.19400000572,328270.222506,4689528.40642,19,T,5.0
2020/02/26/13:38:09.299410,183809.203125,42.3390731812,N,-71.0846557617,W,-1.26300001144,328269.55559,4689529.08813,19,T,5.0
2020/02/26/13:38:09.907844,183809.796875,42.3390808105,N,-71.0846633911,W,-1.25300002098,328268.906675,4689529.80921,19,T,5.0
2020/02/26/13:38:10.489073,183810.40625,42.3390884399,N,-71.0846786499,W,-1.32099997997,328268.21322,4689530.41713,19,T,5.0
2020/02/26/13:38:11.099892,183811.0,42.3390884399,N,-71.0846862793,W,-1.45299994946,328267.473668,4689530.83711,19,T,5.0
2020/02/26/13:38:11.505958,183811.40625,42.3390922546,N,-71.0846939087,W,-1.38699996471,328266.942583,4689530.88383,19,T,5.0
