time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/25/17:23:23.177784,388,1582669403,177153110,,42.3371810913,-71.0903320312,5.0,1.86399996281,327796.84375,4689330.0,19,T
2020/02/25/17:23:25.294373,389,1582669405,293689012,,42.3371810913,-71.0903320312,5.0,1.84700000286,327796.84375,4689330.0,19,T
2020/02/25/17:23:27.410765,390,1582669407,410032033,,42.3371810913,-71.0903320312,5.0,1.84000003338,327796.84375,4689330.0,19,T
2020/02/25/17:23:29.525624,391,1582669409,525120973,,42.3371810913,-71.0903320312,5.0,1.82400000095,327796.84375,4689330.0,19,T
2020/02/25/17:23:31.641494,392,1582669411,640805959,,42.3371810913,-71.0903320312,5.0,1.80799996853,327796.84375,4689330.0,19,T
2020/02/25/17:23:33.761933,393,1582669413,761336088,,42.3371810913,-71.0903320312,5.0,1.79100000858,327796.84375,4689330.0,19,T
2020/02/25/17:23:35.881482,394,1582669415,880727052,,42.3371810913,-71.0903320312,5.0,1.77499997616,327796.84375,4689330.0,19,T
2020/02/25/17:23:38.001593,395,1582669418,929117,,42.3371810913,-71.0903320312,5.0,1.76499998569,327796.84375,4689330.0,19,T
2020/02/25/17:23:40.121574,396,1582669420,121121883,,42.3371810913,-71.0903320312,5.0,1.75199997425,327796.84375,4689330.0,19,T
2020/02/25/17:23:42.238522,397,1582669422,238044977,,42.3371810913,-71.0903320312,5.0,1.74000000954,327796.84375,4689330.0,19,T
2020/02/25/17:23:44.007485,398,1582669424,6830930,,42.3371810913,-71.0903320312,5.0,1.33899998665,327796.90625,4689330.5,19,T
2020/02/25/17:23:46.126469,399,1582669426,125787973,,42.3371810913,-71.0903320312,5.0,1.33200001717,327796.90625,4689330.5,19,T
2020/02/25/17:23:48.248036,400,1582669428,247462034,,42.3371810913,-71.0903320312,5.0,1.33000004292,327796.90625,4689330.5,19,T
2020/02/25/17:23:50.368128,401,1582669430,367480993,,42.3371810913,-71.0903320312,5.0,1.32500004768,327796.90625,4689330.5,19,T
2020/02/25/17:23:52.484591,402,1582669432,483899116,,42.3371810913,-71.0903320312,5.0,1.3259999752,327796.90625,4689330.5,19,T
2020/02/25/17:23:54.601819,403,1582669434,601254940,,42.3371810913,-71.0903320312,5.0,1.31400001049,327796.90625,4689330.5,19,T
2020/02/25/17:23:56.717422,404,1582669436,716834068,,42.3371810913,-71.0903320312,5.0,1.31799995899,327796.90625,4689330.5,19,T
2020/02/25/17:23:58.832674,405,1582669438,832016944,,42.3371810913,-71.0903320312,5.0,1.31700003147,327796.90625,4689330.5,19,T
2020/02/25/17:24:00.949032,406,1582669440,948357105,,42.3371810913,-71.0903320312,5.0,1.32000005245,327796.90625,4689330.5,19,T
2020/02/25/17:24:03.067275,407,1582669443,66692113,,42.3371810913,-71.0903320312,5.0,1.31900000572,327796.90625,4689330.5,19,T
